destination,destination_lat,destination_lon,source,source_lat,source_lon,num_routes
St Louis Lambert International Airport,38.748697,-90.370003,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,8
London Heathrow Airport,51.4706,-0.461941,Washington Dulles International Airport,38.94449997,-77.45580292,8
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Palm Beach International Airport,26.68320084,-80.09559631,8
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,John Glenn Columbus International Airport,39.998001,-82.891899,8
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Southwest Florida International Airport,26.53619957,-81.75520325,8
Los Angeles International Airport,33.94250107,-118.4079971,John F Kennedy International Airport,40.63980103,-73.77890015,8
Frankfurt am Main Airport,50.033333,8.570556,John F Kennedy International Airport,40.63980103,-73.77890015,8
McCarran International Airport,36.08010101,-115.1520004,John F Kennedy International Airport,40.63980103,-73.77890015,8
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Charlotte Douglas International Airport,35.2140007,-80.94309998,8
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Orlando International Airport,28.42939949,-81.30899811,8
José Joaquín de Olmedo International Airport,-2.15741992,-79.88359833,Mariscal Sucre International Airport,-0.129166667,-78.3575,8
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Kansas City International Airport,39.2976,-94.713898,8
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,St Louis Lambert International Airport,38.748697,-90.370003,8
Düsseldorf Airport,51.289501,6.76678,Chicago O'Hare International Airport,41.9786,-87.9048,8
Chicago O'Hare International Airport,41.9786,-87.9048,Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,8
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Licenciado Benito Juarez International Airport,19.4363,-99.072098,8
Miami International Airport,25.79319954,-80.29060364,Licenciado Benito Juarez International Airport,19.4363,-99.072098,8
Suvarnabhumi Airport,13.68109989,100.7470016,Krabi Airport,8.09912014,98.98619843,8
Narita International Airport,35.76470184,140.3860016,Suvarnabhumi Airport,13.68109989,100.7470016,8
Chiang Rai International Airport,19.95229912,99.88289642,Suvarnabhumi Airport,13.68109989,100.7470016,8
Krabi Airport,8.09912014,98.98619843,Suvarnabhumi Airport,13.68109989,100.7470016,8
Suvarnabhumi Airport,13.68109989,100.7470016,Chiang Rai International Airport,19.95229912,99.88289642,8
Singapore Changi Airport,1.35019,103.994003,Juanda International Airport,-7.379829884,112.7870026,8
Kansai International Airport,34.4272995,135.2440033,Taiwan Taoyuan International Airport,25.0777,121.233002,8
Shanghai Pudong International Airport,31.14340019,121.8050003,Taiwan Taoyuan International Airport,25.0777,121.233002,8
Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,Beijing Capital International Airport,40.08010101,116.5849991,8
Yinchuan Airport,38.481899,106.009003,Beijing Capital International Airport,40.08010101,116.5849991,8
Zhoushuizi Airport,38.96569824,121.5390015,Tianjin Binhai International Airport,39.12440109,117.3460007,8
Taiping Airport,45.62340164,126.25,Tianjin Binhai International Airport,39.12440109,117.3460007,8
Chongqing Jiangbei International Airport,29.71920013,106.6419983,Guangzhou Baiyun International Airport,23.39240074,113.2990036,8
Kunming Changshui International Airport,25.1019444,102.9291667,Changsha Huanghua International Airport,28.18919945,113.2200012,8
Xiamen Gaoqi International Airport,24.54400063,118.1279984,Changsha Huanghua International Airport,28.18919945,113.2200012,8
Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,Guilin Liangjiang International Airport,25.21809959,110.0390015,8
Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,Shenzhen Bao'an International Airport,22.63929939,113.810997,8
Kunming Changshui International Airport,25.1019444,102.9291667,Wuhan Tianhe International Airport,30.7838,114.208,8
Xiamen Gaoqi International Airport,24.54400063,118.1279984,Wuhan Tianhe International Airport,30.7838,114.208,8
Kunming Changshui International Airport,25.1019444,102.9291667,Xi'an Xianyang International Airport,34.447102,108.751999,8
Longdongbao Airport,26.53849983,106.8010025,Xi'an Xianyang International Airport,34.447102,108.751999,8
Shanghai Pudong International Airport,31.14340019,121.8050003,Xi'an Xianyang International Airport,34.447102,108.751999,8
Chengdu Shuangliu International Airport,30.57850075,103.9469986,Xi'an Xianyang International Airport,34.447102,108.751999,8
Wuhan Tianhe International Airport,30.7838,114.208,Kunming Changshui International Airport,25.1019444,102.9291667,8
Changsha Huanghua International Airport,28.18919945,113.2200012,Kunming Changshui International Airport,25.1019444,102.9291667,8
Xi'an Xianyang International Airport,34.447102,108.751999,Kunming Changshui International Airport,25.1019444,102.9291667,8
Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,Kunming Changshui International Airport,25.1019444,102.9291667,8
Nanjing Lukou Airport,31.74200058,118.8619995,Kunming Changshui International Airport,25.1019444,102.9291667,8
Xiamen Gaoqi International Airport,24.54400063,118.1279984,Kunming Changshui International Airport,25.1019444,102.9291667,8
Changsha Huanghua International Airport,28.18919945,113.2200012,Xiamen Gaoqi International Airport,24.54400063,118.1279984,8
Kunming Changshui International Airport,25.1019444,102.9291667,Xiamen Gaoqi International Airport,24.54400063,118.1279984,8
Nanjing Lukou Airport,31.74200058,118.8619995,Fuzhou Changle International Airport,25.93510056,119.663002,8
Beijing Capital International Airport,40.08010101,116.5849991,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,8
Kunming Changshui International Airport,25.1019444,102.9291667,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,8
Sanya Phoenix International Airport,18.30290031,109.4120026,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,8
Guilin Liangjiang International Airport,25.21809959,110.0390015,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,8
Fuzhou Changle International Airport,25.93510056,119.663002,Nanjing Lukou Airport,31.74200058,118.8619995,8
Xiamen Gaoqi International Airport,24.54400063,118.1279984,Nanjing Lukou Airport,31.74200058,118.8619995,8
Kunming Changshui International Airport,25.1019444,102.9291667,Nanjing Lukou Airport,31.74200058,118.8619995,8
Guangzhou Baiyun International Airport,23.39240074,113.2990036,Chongqing Jiangbei International Airport,29.71920013,106.6419983,8
Lhasa Gonggar Airport,29.29780006,90.91190338,Chongqing Jiangbei International Airport,29.71920013,106.6419983,8
Xi'an Xianyang International Airport,34.447102,108.751999,Longdongbao Airport,26.53849983,106.8010025,8
Yaoqiang Airport,36.85720062,117.2160034,Chengdu Shuangliu International Airport,30.57850075,103.9469986,8
Xi'an Xianyang International Airport,34.447102,108.751999,Chengdu Shuangliu International Airport,30.57850075,103.9469986,8
Lanzhou Zhongchuan Airport,36.51520157,103.6200027,Ürümqi Diwopu International Airport,43.90710068,87.47419739,8
Tianjin Binhai International Airport,39.12440109,117.3460007,Taiping Airport,45.62340164,126.25,8
Tianjin Binhai International Airport,39.12440109,117.3460007,Zhoushuizi Airport,38.96569824,121.5390015,8
Taiwan Taoyuan International Airport,25.0777,121.233002,Shanghai Pudong International Airport,31.14340019,121.8050003,8
Xi'an Xianyang International Airport,34.447102,108.751999,Shanghai Pudong International Airport,31.14340019,121.8050003,8
Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,Sanya Phoenix International Airport,18.30290031,109.4120026,8
Chongqing Jiangbei International Airport,29.71920013,106.6419983,Lhasa Gonggar Airport,29.29780006,90.91190338,8
Singapore Changi Airport,1.35019,103.994003,Hong Kong International Airport,22.308901,113.915001,8
Hong Kong International Airport,22.308901,113.915001,Singapore Changi Airport,1.35019,103.994003,8
Narita International Airport,35.76470184,140.3860016,Singapore Changi Airport,1.35019,103.994003,8
John F Kennedy International Airport,40.63980103,-73.77890015,Los Angeles International Airport,33.94250107,-118.4079971,8
Kahului Airport,20.8986,-156.429993,Los Angeles International Airport,33.94250107,-118.4079971,8
London Heathrow Airport,51.4706,-0.461941,Seattle Tacoma International Airport,47.449001,-122.308998,8
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,San Diego International Airport,32.73360062,-117.1900024,8
John F Kennedy International Airport,40.63980103,-73.77890015,McCarran International Airport,36.08010101,-115.1520004,8
Los Angeles International Airport,33.94250107,-118.4079971,Narita International Airport,35.76470184,140.3860016,8
Suvarnabhumi Airport,13.68109989,100.7470016,Narita International Airport,35.76470184,140.3860016,8
Singapore Changi Airport,1.35019,103.994003,Narita International Airport,35.76470184,140.3860016,8
Taiwan Taoyuan International Airport,25.0777,121.233002,Kansai International Airport,34.4272995,135.2440033,8
Auckland International Airport,-37.0080986,174.7920074,Melbourne International Airport,-37.673302,144.843002,8
Auckland International Airport,-37.0080986,174.7920074,Brisbane International Airport,-27.38419914,153.1170044,8
Cairns International Airport,-16.88579941,145.7550049,Brisbane International Airport,-27.38419914,153.1170044,8
Charles de Gaulle International Airport,49.012798,2.55,Marseille Provence Airport,43.43927192,5.221424103,8
Toulouse-Blagnac Airport,43.629101,1.36382,Charles de Gaulle International Airport,49.012798,2.55,8
