source_country,destination_country,source_airport,source_lat,source_lon,destination_lat,destination_lon,destination_airport,num_direct_flights,num_connecting_flights
Australia,Singapore,Sydney Kingsford Smith International Airport,-33.94609833,151.177002,1.35019,103.994003,Singapore Changi Airport,9,0
South Africa,South Africa,Cape Town International Airport,-33.96480179,18.60169983,-26.1392,28.246,OR Tambo International Airport,9,0
South Africa,South Africa,OR Tambo International Airport,-26.1392,28.246,-33.96480179,18.60169983,Cape Town International Airport,9,0
China,China,Taoxian Airport,41.63980103,123.4830017,36.26610184,120.3740005,Liuting Airport,9,0
China,China,Liuting Airport,36.26610184,120.3740005,41.63980103,123.4830017,Taoxian Airport,9,0
Thailand,Malaysia,Suvarnabhumi Airport,13.68109989,100.7470016,2.745579958,101.7099991,Kuala Lumpur International Airport,9,0
Malaysia,Thailand,Kuala Lumpur International Airport,2.745579958,101.7099991,13.68109989,100.7470016,Suvarnabhumi Airport,9,0
Australia,Singapore,Brisbane International Airport,-27.38419914,153.1170044,1.35019,103.994003,Singapore Changi Airport,9,0
Singapore,Australia,Singapore Changi Airport,1.35019,103.994003,-27.38419914,153.1170044,Brisbane International Airport,9,0
Singapore,Australia,Singapore Changi Airport,1.35019,103.994003,-31.94029999,115.9670029,Perth International Airport,9,0
Spain,United Kingdom,Lanzarote Airport,28.945499,-13.6052,51.148102,-0.190278,London Gatwick Airport,9,0
United Kingdom,Spain,London Gatwick Airport,51.148102,-0.190278,28.945499,-13.6052,Lanzarote Airport,9,0
United States,United States,Los Angeles International Airport,33.94250107,-118.4079971,29.99340057,-90.25800323,Louis Armstrong New Orleans International Airport,9,0
United States,United States,Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,33.94250107,-118.4079971,Los Angeles International Airport,9,0
United States,United States,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,33.94250107,-118.4079971,Los Angeles International Airport,9,0
China,China,Xi'an Xianyang International Airport,34.447102,108.751999,36.5275,102.042999,Xining Caojiabu Airport,9,0
China,China,Xining Caojiabu Airport,36.5275,102.042999,34.447102,108.751999,Xi'an Xianyang International Airport,9,0
China,China,Xiamen Gaoqi International Airport,24.54400063,118.1279984,31.74200058,118.8619995,Nanjing Lukou Airport,9,0
Australia,Australia,Cairns International Airport,-16.88579941,145.7550049,-27.38419914,153.1170044,Brisbane International Airport,9,0
China,China,Chengdu Shuangliu International Airport,30.57850075,103.9469986,30.22949982,120.4339981,Hangzhou Xiaoshan International Airport,9,0
China,China,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,30.57850075,103.9469986,Chengdu Shuangliu International Airport,9,0
Spain,United States,Barcelona International Airport,41.2971,2.07846,40.63980103,-73.77890015,John F Kennedy International Airport,9,0
