airport_id,airport_name,airport_country,num_outbound_flights,num_inbound_flights,num_connecting_flights
1512,Falcone–Borsellino Airport,Italy,63,63,0
503,London City Airport,United Kingdom,62,66,0
2131,Mehrabad International Airport,Iran,62,63,0
2206,Jinnah International Airport,Pakistan,62,63,0
2384,Naha Airport,Japan,61,62,0
4330,Imam Khomeini International Airport,Iran,60,62,0
1200,Dubrovnik Airport,Croatia,60,61,0
3748,Norman Y. Mineta San Jose International Airport,United States,60,60,0
1529,Milano Linate Airport,Italy,60,60,0
1367,Paris Beauvais Tillé Airport,France,60,60,0
6355,Zhuhai Jinwan Airport,China,60,59,0
273,Murtala Muhammed International Airport,Nigeria,60,59,0
3136,Cochin International Airport,India,59,59,0
2370,Jeju International Airport,South Korea,59,59,0
3774,Ted Stevens Anchorage International Airport,United States,59,59,0
2223,Benazir Bhutto International Airport,Pakistan,58,59,0
491,Liverpool John Lennon Airport,United Kingdom,58,58,0
3959,Vilnius International Airport,Lithuania,58,58,0
2621,Deputado Luiz Eduardo Magalhães International Airport,Brazil,58,58,0
2899,Princess Juliana International Airport,Netherlands Antilles,58,56,0
3473,Memphis International Airport,United States,58,54,0
1715,Dalaman International Airport,Turkey,57,59,0
2578,Viracopos International Airport,Brazil,57,57,0
669,Kraków John Paul II International Airport,Poland,57,57,0
3240,Hasanuddin International Airport,Indonesia,56,56,0
3392,Yantai Laishan Airport,China,56,56,0
2207,Alama Iqbal International Airport,Pakistan,56,55,0
3322,Cairns International Airport,Australia,56,54,0
2537,Tancredo Neves International Airport,Brazil,55,55,0
3817,Sacramento International Airport,United States,55,53,0
3453,Metropolitan Oakland International Airport,United States,54,57,0
2954,Minsk National Airport,Belarus,54,54,0
248,Kotoka International Airport,Ghana,54,53,0
666,Stavanger Airport Sola,Norway,54,52,0
1563,Peretola Airport,Italy,53,53,0
1892,Monseñor Óscar Arnulfo Romero International Airport,El Salvador,53,52,0
2979,Dushanbe Airport,Tajikistan,52,54,0
687,Gothenburg-Landvetter Airport,Sweden,52,54,0
1682,Esenboğa International Airport,Turkey,52,53,0
4091,Madeira Airport,Portugal,52,52,0
2910,Astana International Airport,Kazakhstan,52,52,0
3269,Kota Kinabalu International Airport,Malaysia,52,52,0
1520,Olbia Costa Smeralda Airport,Italy,52,52,0
5,Port Moresby Jacksons International Airport,Papua New Guinea,52,50,0
3825,Bradley International Airport,United States,51,52,0
3341,Adelaide International Airport,Australia,51,51,0
1840,Los Cabos International Airport,Mexico,51,50,0
668,Gdańsk Lech Wałęsa Airport,Poland,51,50,0
897,Douala International Airport,Cameroon,51,47,0
1460,Ioannis Kapodistrias International Airport,Greece,50,53,0
253,Port Bouet Airport,Cote d'Ivoire,50,52,0
1501,Bari Karol Wojtyła Airport,Italy,50,50,0
1553,Ciampino–G. B. Pastine International Airport,Italy,50,50,0
353,Bremen Airport,Germany,50,50,0
3239,Yangon International Airport,Burma,49,50,0
6366,Xining Caojiabu Airport,China,49,50,0
1222,Girona Airport,Spain,49,49,0
4167,Orlando Sanford International Airport,United States,49,48,0
4206,Mactan Cebu International Airport,Philippines,49,48,0
1206,Split Airport,Croatia,49,48,0
1157,Tripoli International Airport,Libya,48,47,0
3931,Chiang Mai International Airport,Thailand,48,47,0
347,Nuremberg Airport,Germany,48,47,0
8076,Al Maktoum International Airport,United Arab Emirates,48,44,0
2618,Congonhas Airport,Brazil,47,47,0
6390,Sunan Shuofang International Airport,China,47,47,0
355,Frankfurt-Hahn Airport,Germany,47,47,0
608,Billund Airport,Denmark,47,47,0
1836,Licenciado Gustavo Díaz Ordaz International Airport,Mexico,47,45,0
951,Quatro de Fevereiro Airport,Angola,46,46,0
2960,Krasnodar Pashkovsky International Airport,Russia,46,45,0
3712,Jacksonville International Airport,United States,46,45,0
3999,Darwin International Airport,Australia,46,44,0
1762,Las Américas International Airport,Dominican Republic,45,48,0
4374,Yemelyanovo Airport,Russia,45,47,0
16,Keflavik International Airport,Iceland,45,46,0
3964,Zvartnots International Airport,Armenia,45,45,0
2912,Manas International Airport,Kyrgyzstan,45,45,0
7447,Enfidha - Hammamet International Airport,Tunisia,45,45,0
1780,Sangster International Airport,Jamaica,45,44,0
100,Ottawa Macdonald-Cartier International Airport,Canada,45,44,0
